State,Location,Date Posted,Date Collected,Sample Type,Unit,Ba-140,Co-60,Cs-134,Cs-136,Cs-137,I-131,I-132,I-133,Te-129,Te-129m,Te-132,Ba-140
CA,Riverside,03/30/2011,03/18/2011,Air Filter,pCi/m3,0,0,0,,0,0,0,0,,,0,
CNMI,Saipan,03/30/2011,03/21/2011,Air Filter,pCi/m3,0,0,0,,0,0,0,0,,,0,
CNMI,Saipan,04-04-2011,03/22/2011,Air Filter,pCi/m3,0,0,0,0,0,0,0,0,0,0,0,
CNMI,Saipan,04-04-2011,03/22/2011,Air Filter,pCi/m3,0,0,0,0,0,0,0,0,0,0,0,
UT,Salt Lake City,04-04-2011,03/21/2011,Air Filter,pCi/m3,0,0,0,0,0,0,0,0,0,0,0,
UT,Salt Lake City,04-04-2011,03/24/2011,Air Filter,pCi/m3,0,0,0,0,0,0,0,0,0,0,0,
CA,San Bernardino,03/30/2011,03/20/2011,Air Filter,pCi/m3,0,0,0,,0,0,0,0,,,0,
CA,San Bernardino,03/30/2011,03/20/2011,Air Filter,pCi/m3,0,0,0,,0,0,0,0,,,0,
CA,San Bernardino,03/30/2011,03/22/2011,Air Filter,pCi/m3,0,0,0,,0,0,0,0,,,0,
CA,San Bernardino,03/30/2011,03/22/2011,Air Filter,pCi/m3,0,0,0,,0,0,0,0,,,0,
CA,San Bernardino,03/30/2011,03/23/2011,Air Filter,pCi/m3,0,0,0,,0,0,0,0,,,0,
CA,San Bernardino,03/30/2011,03/23/2011,Air Filter,pCi/m3,0,0,0,,0,0,0,0,,,0,
CA,San Francisco,03/30/2011,03/18/2011,Air Filter,pCi/m3,0,0,0,,0,0,0,0,,,0,
WA,Seattle,03/30/2011,03/18/2011,Air Filter,pCi/m3,0,0,0,,0,0,0,0,,,0,
FL,Tampa,04-04-2011,03/24/2011,Air Filter,pCi/m3,0,0,0,0,0,0,0,0,0,0,0,
